Date,Adj.Close
2021-11-10,328.052521
2021-11-11,329.669006
2021-11-12,333.923401
2021-11-15,333.278778
2021-11-16,336.690247
2021-11-17,336.918732
2021-11-18,339.054749
2021-11-19,340.882782
2021-11-22,337.624054
2021-11-23,335.488037
2021-11-24,335.716583
2021-11-26,327.539978
2021-11-29,334.444885
2021-11-30,328.444061
2021-12-01,327.937408
2021-12-02,327.351196
2021-12-03,320.9133
2021-12-06,324.072632
2021-12-07,332.745972
2021-12-08,332.795654
2021-12-09,330.937775
2021-12-10,340.316528
2021-12-13,337.196869
2021-12-14,326.208679
2021-12-15,332.477722
2021-12-16,322.790985
2021-12-17,321.69812
2021-12-20,317.833405
2021-12-21,325.165497
2021-12-22,331.03717
2021-12-23,332.517456
2021-12-27,340.227112
2021-12-28,339.034882
2021-12-29,339.730377
2021-12-30,337.117432
2021-12-31,334.136932
2022-01-03,332.577057
2022-01-04,326.874359
2022-01-05,314.326324
2022-01-06,311.842529
2022-01-07,312.001495
2022-01-10,312.230011
2022-01-11,312.935425
2022-01-12,316.204041
2022-01-13,302.821472
2022-01-14,308.186462
2022-01-18,300.685425
2022-01-19,301.361023
2022-01-20,299.642273
2022-01-21,294.108429
2022-01-24,294.446228
2022-01-25,286.617371
2022-01-26,294.783997
2022-01-27,297.893677
2022-01-28,306.259033
2022-01-31,308.961365
2022-02-01,306.755798
2022-02-02,311.425232
2022-02-03,299.294525
2022-02-04,303.954102
2022-02-07,298.99649
2022-02-08,302.583038
2022-02-09,309.18988
2022-02-10,300.417206
2022-02-11,293.124847
2022-02-14,293.085114
2022-02-15,298.519592
2022-02-16,298.171143
2022-02-17,289.440063
2022-02-18,286.652466
2022-02-22,286.44342
2022-02-23,279.026489
2022-02-24,293.282928
2022-02-25,295.990875
2022-02-28,297.464294
2022-03-01,293.641357
2022-03-02,298.858093
2022-03-03,294.607056
2022-03-04,288.573914
2022-03-07,277.672516
2022-03-08,274.626099
2022-03-09,287.219971
2022-03-10,284.322845
2022-03-11,278.827393
2022-03-14,275.21347
2022-03-15,285.875946
2022-03-16,293.083832
2022-03-17,293.910126
2022-03-18,299.097015
2022-03-21,297.832672
2022-03-22,302.710907
2022-03-23,298.161194
2022-03-24,302.750763
2022-03-25,302.332611
2022-03-28,309.321503
2022-03-29,314.010559
2022-03-30,312.467438
2022-03-31,306.942047
2022-04-01,308.04715
2022-04-04,313.57251
2022-04-05,309.500671
2022-04-06,298.171143
2022-04-07,300.032867
2022-04-08,295.652374
2022-04-11,283.994354
2022-04-12,280.808533
2022-04-13,286.343872
2022-04-14,278.588409
2022-04-18,279.27533
2022-04-19,284.034149
2022-04-20,285.089447
2022-04-21,279.564056
2022-04-22,272.814178
2022-04-25,279.474487
2022-04-26,269.021088
2022-04-27,281.963379
2022-04-28,288.344971
2022-04-29,276.288666
2022-05-02,283.207855
2022-05-03,280.529785
2022-05-04,288.69339
2022-05-05,276.119446
2022-05-06,273.511047
2022-05-09,263.406067
2022-05-10,268.30426
2022-05-11,259.393951
2022-05-12,254.217056
2022-05-13,259.961456
2022-05-16,260.339752
2022-05-17,265.636169
2022-05-18,253.54184
2022-05-19,252.603821
2022-05-20,252.025055
2022-05-23,260.0979
2022-05-24,259.070099
2022-05-25,261.963928
2022-05-26,265.336792
2022-05-27,272.661224
2022-05-31,271.294159
2022-06-01,271.842987
2022-06-02,273.998383
2022-06-03,269.448059
2022-06-06,268.180756
2022-06-07,271.922821
2022-06-08,269.83725
2022-06-09,264.229156
2022-06-10,252.454147
2022-06-13,241.746857
2022-06-14,243.972153
2022-06-15,251.226746
2022-06-16,244.451126
2022-06-17,247.125443
2022-06-21,253.20256
2022-06-22,252.593842
2022-06-23,258.311676
2022-06-24,267.132996
2022-06-27,264.328949
2022-06-28,255.936752
2022-06-29,259.70874
2022-06-30,256.28598
2022-07-01,259.030182
2022-07-05,262.293274
2022-07-06,265.646118
2022-07-07,267.831482
2022-07-08,267.093079
2022-07-11,263.949738
2022-07-12,253.13269
2022-07-13,252.184708
2022-07-14,253.54184
2022-07-15,256.176239
2022-07-18,253.711472
2022-07-19,258.980286
2022-07-20,261.714478
2022-07-21,264.279022
2022-07-22,259.808502
2022-07-25,258.281769
2022-07-26,251.36644
2022-07-27,268.170776
2022-07-28,275.824524
2022-07-29,280.145355
2022-08-01,277.421143
2022-08-02,274.237915
2022-08-03,281.871704
2022-08-04,283.049194
2022-08-05,282.31076
2022-08-08,279.726257
2022-08-09,281.702057
2022-08-10,288.547516
2022-08-11,286.412048
2022-08-12,291.291718
2022-08-15,292.848389
2022-08-16,292.089996
2022-08-17,291.320007
2022-08-18,290.170013
2022-08-19,286.149994
2022-08-22,277.75
2022-08-23,276.440002
2022-08-24,275.790009
2022-08-25,278.850006
2022-08-26,268.089996
2022-08-29,265.230011
2022-08-30,262.970001
2022-08-31,261.470001
2022-09-01,260.399994
2022-09-02,256.059998
2022-09-06,253.25
2022-09-07,258.089996
2022-09-08,258.519989
2022-09-09,264.459991
2022-09-12,266.649994
2022-09-13,251.990005
2022-09-14,252.220001
2022-09-15,245.380005
2022-09-16,244.740005
2022-09-19,244.520004
2022-09-20,242.449997
2022-09-21,238.949997
2022-09-22,240.979996
2022-09-23,237.919998
2022-09-26,237.449997
2022-09-27,236.410004
2022-09-28,241.070007
2022-09-29,237.5
2022-09-30,232.899994
2022-10-03,240.740005
2022-10-04,248.880005
2022-10-05,249.199997
2022-10-06,246.789993
2022-10-07,234.240005
2022-10-10,229.25
2022-10-11,225.410004
2022-10-12,225.75
2022-10-13,234.240005
2022-10-14,228.559998
2022-10-17,237.529999
2022-10-18,238.5
2022-10-19,236.479996
2022-10-20,236.149994
2022-10-21,242.119995
2022-10-24,247.25
2022-10-25,250.660004
2022-10-26,231.320007
2022-10-27,226.75
2022-10-28,235.869995
2022-10-31,232.130005
2022-11-01,228.169998
2022-11-02,220.100006
2022-11-03,214.25
2022-11-04,221.389999
2022-11-07,227.869995
2022-11-08,228.869995
